year,city_data_avg_temp,global_data_avg_temp,,,,,,5 years moving avg_city,5 years moving avg_global
1808,17.11,7.63,,,,,,,
1809,19.87,7.08,,,,,,,
1810,19.93,6.92,,,,,,,
1811,20,6.86,,,,,,,
1812,19.93,7.05,,,,,,19.368,7.108
1813,20.51,7.74,,,,,,20.048,7.13
1814,20.43,7.59,,,,,,20.16,7.232
1815,20.3,7.24,,,,,,20.234,7.296
1816,20.51,6.94,,,,,,20.336,7.312
1817,21.88,6.98,,,,,,20.726,7.298
1818,11.6,7.83,,,,,,18.944,7.316
1819,20.31,7.37,,,,,,18.92,7.272
1820,20.58,7.62,,,,,,18.976,7.348
1821,20.63,8.09,,,,,,19,7.578
1822,20.72,8.19,,,,,,18.768,7.82
1823,20.71,7.72,,,,,,20.59,7.798
1824,21.44,8.55,,,,,,20.816,8.034
1825,21,8.39,,,,,,20.9,8.188
1826,20.94,8.36,,,,,,20.962,8.242
1827,21.63,8.81,,,,,,21.144,8.366
1828,20.99,8.17,,,,,,21.2,8.456
1829,20.91,7.94,,,,,,21.094,8.334
1830,21.25,8.52,,,,,,21.144,8.36
1831,20.52,7.64,,,,,,21.06,8.216
1832,20.2,7.45,,,,,,20.774,7.944
1833,20.81,8.01,,,,,,20.738,7.912
1834,20.69,8.15,,,,,,20.694,7.954
1835,20.17,7.39,,,,,,20.478,7.728
1836,20.59,7.7,,,,,,20.492,7.74
1837,20.27,7.38,,,,,,20.506,7.726
1838,20.21,7.51,,,,,,20.386,7.626
1839,20.43,7.63,,,,,,20.334,7.522
1840,20.56,7.8,,,,,,20.412,7.604
1841,20.91,7.69,,,,,,20.476,7.602
1842,20.92,8.02,,,,,,20.606,7.73
1843,20.83,8.17,,,,,,20.73,7.862
1844,20.66,7.65,,,,,,20.776,7.866
1845,20.9,7.85,,,,,,20.844,7.876
1846,21.57,8.55,,,,,,20.976,8.048
1847,21.1,8.09,,,,,,21.012,8.062
1848,20.89,7.98,,,,,,21.024,8.024
1849,20.9,7.98,,,,,,21.072,8.09
1850,20.39,7.9,,,,,,20.97,8.1
1851,21.11,8.18,,,,,,20.878,8.026
1852,21.04,8.1,,,,,,20.866,8.028
1853,21.53,8.04,,,,,,20.994,8.04
1854,20.74,8.21,,,,,,20.962,8.086
1855,21.04,8.11,,,,,,21.092,8.128
1856,20.49,8,,,,,,20.968,8.092
1857,20.29,7.76,,,,,,20.818,8.024
1858,20.9,8.1,,,,,,20.692,8.036
1859,20.98,8.25,,,,,,20.74,8.044
1860,21.33,7.96,,,,,,20.798,8.014
1861,20.21,7.85,,,,,,20.742,7.984
1862,20.22,7.56,,,,,,20.728,7.944
1863,20.6,8.11,,,,,,20.668,7.946
1864,21.25,7.98,,,,,,20.722,7.892
1865,21.55,8.18,,,,,,20.766,7.936
1866,21.35,8.29,,,,,,20.994,8.024
1867,21.45,8.44,,,,,,21.24,8.2
1868,20.94,8.25,,,,,,21.308,8.228
1869,21.41,8.43,,,,,,21.34,8.318
1870,21.3,8.2,,,,,,21.29,8.322
1871,20.87,8.12,,,,,,21.194,8.288
1872,21.14,8.19,,,,,,21.132,8.238
1873,21.4,8.35,,,,,,21.224,8.258
1874,20.77,8.43,,,,,,21.096,8.258
1875,19.99,7.86,,,,,,20.834,8.19
1876,21.05,8.08,,,,,,20.87,8.182
1877,21.39,8.54,,,,,,20.92,8.252
1878,21.54,8.83,,,,,,20.948,8.348
1879,21.49,8.17,,,,,,21.092,8.296
1880,21.2,8.12,,,,,,21.334,8.348
1881,21.56,8.27,,,,,,21.436,8.386
1882,20.38,8.13,,,,,,21.234,8.304
1883,20.65,7.98,,,,,,21.056,8.134
1884,20.23,7.77,,,,,,20.804,8.054
1885,20.91,7.92,,,,,,20.746,8.014
1886,20.55,7.95,,,,,,20.544,7.95
1887,21.21,7.91,,,,,,20.71,7.906
1888,21.04,8.09,,,,,,20.788,7.928
1889,21.05,8.32,,,,,,20.952,8.038
1890,21.09,7.97,,,,,,20.988,8.048
